ANNUAL_SALES,IN_DEFAULT,LGD_EFFECTIVE,BALANCE,RETURN_ON_ASSETS,DEBT_SRV_CVR_RATIO,CASH_INT_CVR_RATIO,DEBT_DEBT_EQ_RATIO,CASH_FLOW_OP_LIAB,EBITDA_VOLATILITY,NET_WORTH_CPI,NEGATIVE_NPAT_FLAG,MARKET_POSITION,LONG_RUN_AVERAGE_PD
103125000.0,False,60.32,285979.26,0.0070330026,1.027467054,6.084177423,0.4518113761,0.2464730071,0.0,7.680731122,False,-1,0.0163646153
115388000.0,False,60.32,10756.44,-0.185503552,0.0,-2.01996921,0.763730754,-0.061980723,3.25,6.36090817,True,2,0.1533932249
79101831.0,False,60.32,230440.27,0.0975578302,0.0,10.35605178,0.0354403226,0.0377601381,-1.0,7.638077492,False,4,0.0061626994
9753713000.0,False,60.32,47711.1,0.1825196451,0.0,5.440776706,0.4526200711,0.1669743076,-0.5,9.34593712,False,4,0.0037147087
9753713000.0,False,60.32,63335.77,0.1825196451,0.0,5.440776706,0.4526200711,0.1669743076,-0.5,9.34593712,False,4,0.0037147087
83763000.0,False,60.32,565804.34,0.038811375,1.57942689,3.46692654,0.7916527793,0.0,1.0,6.327302322,False,3,0.0304245741
83763000.0,False,60.32,3533333.38,0.1183865704,0.0,3.869457918,0.6660590362,0.0,-1.0,7.259997355,False,3,0.0188630375
761030000.0,False,60.32,3120748.84,0.2032807803,6.464975302,13.68087775,0.3875299624,0.3483877346,-1.0,8.417501922,False,2,0.0024897309
761030000.0,False,60.32,12080.36,0.1872489732,0.0,13.86200793,0.3693354817,0.2431758924,-1.0,8.330660394,False,2,0.0035717353
761030000.0,False,60.32,3237.59,0.2032807803,6.464975302,13.68087775,0.3875299624,0.3483877346,-1.0,8.417501922,False,2,0.0024897309
761030000.0,False,60.32,1457.82,0.1872489732,0.0,13.86200793,0.3693354817,0.2431758924,-1.0,8.330660394,False,2,0.0035717353
761030000.0,False,60.32,4620.09,0.2032807803,6.464975302,13.68087775,0.3875299624,0.3483877346,-1.0,8.417501922,False,2,0.0024897309
121617000.0,False,55.35759947,1659289.57,0.0764939322,0.0,2.875274553,0.6339854952,0.0,-0.666666667,6.653472118,False,1,0.0260805985
266976000.0,False,49.41367362,2262700.34,0.1183865704,0.0,3.869457918,0.6660590362,0.0,-1.0,7.259997355,False,3,0.0188630375
266976000.0,False,60.32,-500000.0,0.1183865704,0.0,3.869457918,0.6660590362,0.0,-1.0,7.259997355,False,3,0.0188630375
266976000.0,False,50.96092556,673672.73,0.1183865704,0.0,3.869457918,0.6660590362,0.0,-1.0,7.259997355,False,3,0.0188630375
266976000.0,False,39.85996408,1705449.4,0.1183865704,0.0,3.869457918,0.6660590362,0.0,-1.0,7.259997355,False,3,0.0188630375
95483000.0,False,60.32,0.0,0.0531929931,0.0,2.180041241,0.9394593341,0.0,0.0,6.491853677,False,1,0.0317627034
71136000.0,False,60.32,2179687.5,0.0351120572,1.040043094,2.161160201,0.7641857096,0.0,0.0,6.276860963,False,4,0.0337777749
71136000.0,False,60.32,1170000.0,0.0123896768,0.9306202311,1.787868215,0.7641857096,0.0,0.0,6.276860963,False,4,0.0381695944
68164.0,False,60.32,22500.65,0.0669711675,0.0,4.457697852,0.5180079016,0.1681518081,0.0,6.712904335,False,3,0.0194098866
153123132.0,False,60.32,9386.44,0.1143646284,0.0,3.759509129,0.5563318231,0.0,-1.0,7.381456404,False,3,0.0186727475
50987000.0,False,34.66,3958692.69,0.0605274652,0.0,5.247529778,0.6117577373,0.0,-0.333333333,6.36651797,False,0,0.0261881902
178589000.0,False,34.66,1115833.4,0.0708548165,1.364963212,3.197874681,0.756674454,0.0,0.0,6.953279092,False,4,0.0244282527
178589000.0,False,47.93371044,6541793.39,0.0775447888,0.0,2.574240457,0.7942625946,0.0,-1.0,6.846568531,False,4,0.0240845014
69255273.0,False,60.32,55270.11,0.149485263,0.0,22.50711128,0.4356073696,0.2219317052,-1.0,6.161651701,False,2,0.0107869375
71136000.0,False,60.05243535,4824947.57,0.0123896768,0.9306202311,1.787868215,0.7641857096,0.0,0.0,6.276860963,False,4,0.0381695944
71136000.0,False,34.66,1050000.0,0.0928051001,0.0,2.812804438,0.318573831,0.0,1.0,4.9506995,False,0,0.033889061
207221000.0,False,60.32,560044.17,0.008803868,0.0,0.0,0.0,0.1932414766,1.0,8.434463326,False,4,0.0053576599
69841000.0,False,60.32,0.0,0.1170012547,6.364521193,5.555316074,0.9758980118,0.0,0.0,4.9506995,False,3,0.0294936944
69841000.0,False,60.32,0.0,6.434927293,0.0,99.52681854,0.8234499247,0.0,-0.5,7.441481857,False,1,0.0135713898
265719000.0,False,60.32,1629389.75,0.1112299603,0.0,5.55176081,0.8637016335,0.0,0.0,6.717249436,False,3,0.0255335994
41148840.0,False,60.32,366223.34,0.3514725602,0.0,12.81563779,0.7392167804,0.0,-0.5,7.41255834,False,0,0.0156393507
121617000.0,False,34.66,279999.94,0.0764939322,0.0,2.875274553,0.6339854952,0.0,-0.666666667,6.653472118,False,1,0.0260805985
237095000.0,False,60.32,646973.01,0.0858001225,0.0,4.679507292,0.4179468552,0.0288215891,-1.0,8.043479834,False,2,0.0115188001
349829000.0,False,60.32,227452.92,0.068373859,0.0,2.514884539,0.4448706095,0.3046845441,1.0,7.534163563,False,0,0.0210448514
127255792.0,False,60.32,128478.23,0.0326485003,0.0,2.350792942,0.5905028377,1.320088215,-1.0,7.414361392,False,4,0.0137998612
127255792.0,False,60.32,42481.76,0.0326485003,0.0,2.350792942,0.5905028377,1.320088215,-1.0,7.414361392,False,4,0.0137998612
127255792.0,False,60.32,28456.22,0.0326485003,0.0,2.350792942,0.5905028377,1.320088215,-1.0,7.414361392,False,4,0.0137998612
293693000.0,False,60.32,2406.0,0.1299549738,0.0,14.4942331,0.288722112,0.0,-1.0,7.899888717,False,2,0.0068831261
695648000.0,False,60.32,115477.07,0.0585712496,0.0,5.625563249,0.540824025,0.2371204088,-1.0,8.051145801,False,3,0.0075066492
454390000.0,False,60.32,110135.12,0.0055153699,0.0,72.76234592,0.5712514764,0.2452635977,0.0,7.748801337,True,0,0.0184540641
454390000.0,False,60.32,925315.21,0.0055153699,0.0,72.76234592,0.5712514764,0.2452635977,0.0,7.748801337,True,0,0.0184540641
83763000.0,False,60.32,863318.32,0.1266510538,0.0,5.426388491,0.8692833432,0.0,0.0,6.057957576,False,3,0.0269171562
83763000.0,False,41.96316445,3581294.98,0.1183865704,0.0,3.869457918,0.6660590362,0.0,-1.0,7.259997355,False,3,0.0188630375
58648150.0,False,60.32,37118.55,,,,,,,,True,0,1.0
46364951.0,False,60.32,136171.2,0.440232105,0.0,17.24880504,0.4691018579,0.0,-1.0,7.021613906,False,1,0.0118006171
48220414.0,False,60.32,270937.83,0.1120122049,0.0,8.018146551,0.7200041684,0.2528506631,0.0,6.154819465,False,3,0.0213613992
116963000.0,False,60.32,7262.37,0.0528630246,0.0,218.9285714,0.0,0.1492992093,-1.0,7.300176792,False,4,0.0054508888
116963000.0,False,60.32,6540.94,0.025110234,0.0,218.9285714,0.0,0.1429118646,0.0,7.304617077,False,4,0.006355157
116963000.0,False,60.32,884507.57,0.025110234,0.0,218.9285714,0.0,0.1429118646,0.0,7.304617077,False,4,0.006355157
116963000.0,False,60.32,3157.22,0.0528630246,0.0,218.9285714,0.0,0.1492992093,-1.0,7.300176792,False,4,0.0054508888
281302000.0,False,60.32,467060.73,0.0470908844,0.0,118.6763439,0.1351376647,0.0875072689,1.0,7.342990396,False,1,0.0138072512
281302000.0,False,60.32,13822.84,0.0470908844,0.0,118.6763439,0.1351376647,0.0875072689,1.0,7.342990396,False,1,0.0138072512
281302000.0,False,60.32,3596.6,0.0470908844,0.0,118.6763439,0.1351376647,0.0875072689,1.0,7.342990396,False,1,0.0138072512
281302000.0,False,60.32,8276.41,0.0470908844,0.0,118.6763439,0.1351376647,0.0875072689,1.0,7.342990396,False,1,0.0138072512
281302000.0,False,60.32,5865.53,0.0470908844,0.0,118.6763439,0.1351376647,0.0875072689,1.0,7.342990396,False,1,0.0138072512
281302000.0,False,60.32,12169.71,0.0470908844,0.0,118.6763439,0.1351376647,0.0875072689,1.0,7.342990396,False,1,0.0138072512
